ID,example,method,originloc,destloc,arctime_rdd,arctime_raw,arcdist,totaltrips,ordertrips,emptytrips,taxitrips
ex4_otd_rundate2022-03-23,4,otd,35,29,12.0,8.501904191,215.450902575466,23.000000000000043,0.0,23.000000000000043,0.0
ex4_otd_rundate2022-03-23,4,otd,38,34,12.0,7.146470262,246.846158338184,26.0,26.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,35,39,6.0,3.205039593,130.085846939464,1.0,0.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,25,17,12.0,6.438168333,227.368525579854,2.0,0.0,2.0,0.0
ex4_otd_rundate2022-03-23,4,otd,63,52,36.0,31.20914111,450.627463431132,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,16,20,12.0,9.186221462,275.720335325065,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,55,50,12.0,6.86057705,255.33797869718,23.0,14.0,9.0,0.0
ex4_otd_rundate2022-03-23,4,otd,61,64,6.0,4.342777778,164.167702995166,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,4,10,12.0,7.832734444,226.318836494536,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,36,39,12.0,10.23975592,274.034207117547,3.0000000000002975,0.0,3.0000000000002975,0.0
ex4_otd_rundate2022-03-23,4,otd,7,2,6.0,5.792768582,217.951370235144,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,31,32,18.0,14.93580361,205.489460058827,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,19,25,6.0,5.546718436,190.850576107284,55.0,55.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,10,17,18.0,16.41826296,285.454634813656,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,6,3,6.0,5.089065,107.627571703066,8.999999999997732,0.0,8.999999999997732,0.0
ex4_otd_rundate2022-03-23,4,otd,30,23,18.0,13.76540261,275.328287083623,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,36,23,24.0,19.79042,419.416328452391,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,1,7,12.0,9.630762983,270.980577747204,1.0,0.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,19,13,12.0,7.542982048,219.773425311445,29.000000000000043,12.0,17.000000000000043,0.0
ex4_otd_rundate2022-03-23,4,otd,32,39,12.0,6.092069787,223.145722054687,8.0,8.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,25,11,18.0,13.97332324,409.269676982207,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,33,42,12.0,9.460181794,275.580117356592,20.000000000000398,13.0,7.0000000000004,0.0
ex4_otd_rundate2022-03-23,4,otd,56,62,18.0,13.79328598,243.595147576949,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,32,29,6.0,5.840128056,123.682521081132,8.0,0.0,8.0,0.0
ex4_otd_rundate2022-03-23,4,otd,1,3,6.0,4.450994546,125.622431360481,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,36,44,12.0,9.824423945,276.933466682987,3.0000000000002838,1.0,2.0000000000002838,0.0
ex4_otd_rundate2022-03-23,4,otd,57,48,24.0,21.39030722,166.565832820728,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,21,9,24.0,20.86430251,390.577623757823,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,12,15,6.0,3.592126888,81.5118255360498,2.999999999999503,0.0,2.999999999999503,0.0
ex4_otd_rundate2022-03-23,4,otd,9,10,12.0,9.926109582,163.074680306897,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,62,57,24.0,18.47220833,435.342763991966,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,53,45,12.0,6.595287355,179.139190471413,39.0,39.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,12,2,12.0,11.94232708,456.747326352691,26.0,26.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,29,35,12.0,8.637178555,215.450902575466,21.0,21.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,9,3,72.0,68.49446631,225.160771524459,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,16,10,12.0,7.49482566,249.864885342296,9.0,8.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,26,12,12.0,10.5225,399.083890466118,32.0,32.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,17,19,6.0,3.643151389,44.2107955052226,3.0,0.0,3.0,0.0
ex4_otd_rundate2022-03-23,4,otd,11,19,12.0,6.730095422,220.285385100018,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,16,19,6.0,2.08,75.7175767766743,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,19,30,18.0,12.87256586,364.944675691236,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,33,20,30.0,24.16277917,473.123468193964,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,26,28,24.0,22.29939278,384.105212711011,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,27,29,12.0,10.96939809,258.217358484611,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,23,36,24.0,20.2758468,419.416328452391,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,39,35,6.0,3.443703567,130.085846939464,1.0,0.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,31,23,18.0,15.48,327.858988338023,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,37,30,12.0,6.949756591,203.075347443691,54.0,50.0,4.0,0.0
ex4_otd_rundate2022-03-23,4,otd,47,60,12.0,11.02906907,398.708370202492,7.0,7.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,21,23,12.0,8.452012028,222.27452865026,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,48,59,24.0,23.59832028,245.228545650453,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,17,11,12.0,8.719465501,181.977317863828,3.0,3.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,55,62,12.0,11.51726875,229.058967967787,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,13,20,66.0,65.39982139,132.397203119022,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,32,35,6.0,2.545043681,93.4003588519256,20.0,20.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,21,31,24.0,19.96182667,364.587657975129,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,52,41,12.0,10.77323338,276.144651532919,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,30,34,12.0,8.620092145,269.533904865347,6.0,2.0,4.0,0.0
ex4_otd_rundate2022-03-23,4,otd,52,42,12.0,7.974811415,239.648188825157,4.0,4.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,15,22,6.0,5.777241231,217.740957859061,2.999999999999865,1.0,1.999999999999865,0.0
ex4_otd_rundate2022-03-23,4,otd,11,10,6.0,2.359573778,106.646916050776,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,6,2,24.0,22.82742056,143.53282160667,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,8,7,6.0,3.703748908,120.828293766893,3.0000000000003118,0.0,3.0000000000003118,0.0
ex4_otd_rundate2022-03-23,4,otd,47,44,6.0,1.653063473,53.9958540140862,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,62,50,12.0,11.10251669,308.639124560259,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,12,21,24.0,22.73789799,280.63164817055,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,1,8,12.0,11.53751889,332.583665002099,10.0,10.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,17,25,12.0,7.616951193,227.368525579854,2.0,2.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,15,9,12.0,7.533510015,261.788339815345,1.0,0.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,55,64,12.0,10.00760111,361.245690377166,1.0,0.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,27,23,12.0,8.15627938,213.195846974466,7.0,6.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,26,36,24.0,18.84472222,498.473301899442,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,39,40,6.0,3.030815001,92.9256367665352,2.00000000000071,0.0,2.00000000000071,0.0
ex4_otd_rundate2022-03-23,4,otd,30,27,18.0,12.30582417,388.844756654093,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,42,46,12.0,7.922341026,192.726148915441,2.0,2.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,28,27,6.0,5.794532967,166.775479194319,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,60,53,6.0,5.573272667,178.509302609285,13.0,13.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,62,55,12.0,11.51726875,229.058967967787,1.0000000000001559,0.0,1.0000000000001559,0.0
ex4_otd_rundate2022-03-23,4,otd,14,10,24.0,20.06741778,356.382550945735,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,21,12,18.0,16.06699676,280.63164817055,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,10,5,12.0,8.56993132,212.968382461616,1.00000000000017,0.0,1.00000000000017,0.0
ex4_otd_rundate2022-03-23,4,otd,28,26,24.0,20.22801583,384.105212711011,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,10,11,6.0,2.605880337,106.646916050776,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,54,47,6.0,5.569791728,203.419149647979,17.0000000000002,7.0,10.000000000000199,0.0
ex4_otd_rundate2022-03-23,4,otd,25,16,36.0,30.0510232,265.194331873194,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,3,1,6.0,4.553562676,125.622431360481,3.0,2.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,58,65,30.0,29.11685269,295.595706650082,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,24,8,72.0,68.26984361,511.482712283927,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,37,25,18.0,13.53191459,378.89116471766,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,16,21,12.0,9.617983038,267.836855260699,2.0,2.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,25,37,18.0,13.73118509,378.89116471766,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,17,16,24.0,19.83809514,40.2357869466967,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,48,57,24.0,21.39030722,166.565832820728,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,56,61,114.0,109.5041722,178.493402888285,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,31,36,12.0,8.89976935,230.50805487632,23.0,7.0,16.0,0.0
ex4_otd_rundate2022-03-23,4,otd,13,7,12.0,9.8534625,377.438102707487,13.0,0.0,13.0,0.0
ex4_otd_rundate2022-03-23,4,otd,42,51,18.0,12.26666667,303.448738739285,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,6,5,6.0,4.026543651,86.1956847307827,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,16,17,6.0,1.2,40.2357869466967,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,57,50,12.0,10.01018321,276.724910469429,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,48,50,12.0,10.5722728,287.316338671315,23.0,23.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,46,52,12.0,6.872102929,200.051936269149,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,32,40,18.0,13.66731852,285.525888606881,0.0,0.0,0.0,0.0
