experiment_id,instance,method,weekstart,horizon,tstep,numdrivers,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varfixingthreshold
115,4,mag,2019-07-21,5,6,1.4,0,0.001,1000,,,
116,4,sag,2019-07-21,5,6,1.4,0,0.001,1000,,,
117,4,ip,2019-07-28,5,6,1.4,0,0.001,1000,,,
118,4,basisip,2019-07-28,5,6,1.4,0,0.001,1000,,,
119,4,mag,2019-07-28,5,6,1.4,0,0.001,1000,,,
120,4,sag,2019-07-28,5,6,1.4,0,0.001,1000,,,
121,4,ip,2019-08-04,5,6,1.4,0,0.001,1000,,,
122,4,basisip,2019-08-04,5,6,1.4,0,0.001,1000,,,
123,4,mag,2019-08-04,5,6,1.4,0,0.001,1000,,,
124,4,sag,2019-08-04,5,6,1.4,0,0.001,1000,,,
125,4,ip,2019-08-11,5,6,1.4,0,0.001,1000,,,
126,4,basisip,2019-08-11,5,6,1.4,0,0.001,1000,,,
127,4,mag,2019-08-11,5,6,1.4,0,0.001,1000,,,
128,4,sag,2019-08-11,5,6,1.4,0,0.001,1000,,,
129,4,ip,2019-06-23,5,3,1.4,0,0.001,1000,,,
130,4,basisip,2019-06-23,5,3,1.4,0,0.001,1000,,,
131,4,mag,2019-06-23,5,3,1.4,0,0.001,1000,,,
132,4,sag,2019-06-23,5,3,1.4,0,0.001,1000,,,
133,4,ip,2019-06-30,5,3,1.4,0,0.001,1000,,,
134,4,basisip,2019-06-30,5,3,1.4,0,0.001,1000,,,
135,4,mag,2019-06-30,5,3,1.4,0,0.001,1000,,,
136,4,sag,2019-06-30,5,3,1.4,0,0.001,1000,,,
137,4,ip,2019-07-07,5,3,1.4,0,0.001,1000,,,
138,4,basisip,2019-07-07,5,3,1.4,0,0.001,1000,,,
139,4,mag,2019-07-07,5,3,1.4,0,0.001,1000,,,
140,4,sag,2019-07-07,5,3,1.4,0,0.001,1000,,,
141,4,ip,2019-07-14,5,3,1.4,0,0.001,1000,,,
142,4,basisip,2019-07-14,5,3,1.4,0,0.001,1000,,,
143,4,mag,2019-07-14,5,3,1.4,0,0.001,1000,,,
144,4,sag,2019-07-14,5,3,1.4,0,0.001,1000,,,
145,4,ip,2019-07-21,5,3,1.4,0,0.001,1000,,,
146,4,basisip,2019-07-21,5,3,1.4,0,0.001,1000,,,
147,4,mag,2019-07-21,5,3,1.4,0,0.001,1000,,,
148,4,sag,2019-07-21,5,3,1.4,0,0.001,1000,,,
149,4,ip,2019-07-28,5,3,1.4,0,0.001,1000,,,
150,4,basisip,2019-07-28,5,3,1.4,0,0.001,1000,,,
151,4,mag,2019-07-28,5,3,1.4,0,0.001,1000,,,
152,4,sag,2019-07-28,5,3,1.4,0,0.001,1000,,,
153,4,ip,2019-08-04,5,3,1.4,0,0.001,1000,,,
154,4,basisip,2019-08-04,5,3,1.4,0,0.001,1000,,,
155,4,mag,2019-08-04,5,3,1.4,0,0.001,1000,,,
156,4,sag,2019-08-04,5,3,1.4,0,0.001,1000,,,
157,4,ip,2019-08-11,5,3,1.4,0,0.001,1000,,,
158,4,basisip,2019-08-11,5,3,1.4,0,0.001,1000,,,
159,4,mag,2019-08-11,5,3,1.4,0,0.001,1000,,,
160,4,sag,2019-08-11,5,3,1.4,0,0.001,1000,,,
161,4,ip,2019-06-23,7,6,1.4,0,0.001,1000,,,
162,4,basisip,2019-06-23,7,6,1.4,0,0.001,1000,,,
163,4,mag,2019-06-23,7,6,1.4,0,0.001,1000,,,
164,4,sag,2019-06-23,7,6,1.4,0,0.001,1000,,,
165,4,ip,2019-06-30,7,6,1.4,0,0.001,1000,,,
166,4,basisip,2019-06-30,7,6,1.4,0,0.001,1000,,,
167,4,mag,2019-06-30,7,6,1.4,0,0.001,1000,,,
168,4,sag,2019-06-30,7,6,1.4,0,0.001,1000,,,
169,4,ip,2019-07-07,7,6,1.4,0,0.001,1000,,,
170,4,basisip,2019-07-07,7,6,1.4,0,0.001,1000,,,
171,4,mag,2019-07-07,7,6,1.4,0,0.001,1000,,,
172,4,sag,2019-07-07,7,6,1.4,0,0.001,1000,,,
173,4,ip,2019-07-14,7,6,1.4,0,0.001,1000,,,
174,4,basisip,2019-07-14,7,6,1.4,0,0.001,1000,,,
175,4,mag,2019-07-14,7,6,1.4,0,0.001,1000,,,
176,4,sag,2019-07-14,7,6,1.4,0,0.001,1000,,,
177,4,ip,2019-07-21,7,6,1.4,0,0.001,1000,,,
178,4,basisip,2019-07-21,7,6,1.4,0,0.001,1000,,,
179,4,mag,2019-07-21,7,6,1.4,0,0.001,1000,,,
180,4,sag,2019-07-21,7,6,1.4,0,0.001,1000,,,
181,4,ip,2019-07-28,7,6,1.4,0,0.001,1000,,,
182,4,basisip,2019-07-28,7,6,1.4,0,0.001,1000,,,
183,4,mag,2019-07-28,7,6,1.4,0,0.001,1000,,,
184,4,sag,2019-07-28,7,6,1.4,0,0.001,1000,,,
185,4,ip,2019-08-04,7,6,1.4,0,0.001,1000,,,
186,4,basisip,2019-08-04,7,6,1.4,0,0.001,1000,,,
187,4,mag,2019-08-04,7,6,1.4,0,0.001,1000,,,
188,4,sag,2019-08-04,7,6,1.4,0,0.001,1000,,,
189,4,ip,2019-08-11,7,6,1.4,0,0.001,1000,,,
190,4,basisip,2019-08-11,7,6,1.4,0,0.001,1000,,,
191,4,mag,2019-08-11,7,6,1.4,0,0.001,1000,,,
192,4,sag,2019-08-11,7,6,1.4,0,0.001,1000,,,
193,4,ip,2019-06-23,5,6,1.4,0,0.001,100,,,
194,4,basisip,2019-06-23,5,6,1.4,0,0.001,100,,,
195,4,mag,2019-06-23,5,6,1.4,0,0.001,100,,,
196,4,sag,2019-06-23,5,6,1.4,0,0.001,100,,,
197,4,ip,2019-06-30,5,6,1.4,0,0.001,100,,,
198,4,basisip,2019-06-30,5,6,1.4,0,0.001,100,,,
199,4,mag,2019-06-30,5,6,1.4,0,0.001,100,,,
200,4,sag,2019-06-30,5,6,1.4,0,0.001,100,,,
201,4,ip,2019-07-07,5,6,1.4,0,0.001,100,,,
202,4,basisip,2019-07-07,5,6,1.4,0,0.001,100,,,
203,4,mag,2019-07-07,5,6,1.4,0,0.001,100,,,
204,4,sag,2019-07-07,5,6,1.4,0,0.001,100,,,
205,4,ip,2019-07-14,5,6,1.4,0,0.001,100,,,
206,4,basisip,2019-07-14,5,6,1.4,0,0.001,100,,,
207,4,mag,2019-07-14,5,6,1.4,0,0.001,100,,,
208,4,sag,2019-07-14,5,6,1.4,0,0.001,100,,,
209,4,ip,2019-07-21,5,6,1.4,0,0.001,100,,,
210,4,basisip,2019-07-21,5,6,1.4,0,0.001,100,,,
211,4,mag,2019-07-21,5,6,1.4,0,0.001,100,,,
212,4,sag,2019-07-21,5,6,1.4,0,0.001,100,,,
213,4,ip,2019-07-28,5,6,1.4,0,0.001,100,,,
214,4,basisip,2019-07-28,5,6,1.4,0,0.001,100,,,
215,4,mag,2019-07-28,5,6,1.4,0,0.001,100,,,
216,4,sag,2019-07-28,5,6,1.4,0,0.001,100,,,
217,4,ip,2019-08-04,5,6,1.4,0,0.001,100,,,
218,4,basisip,2019-08-04,5,6,1.4,0,0.001,100,,,
219,4,mag,2019-08-04,5,6,1.4,0,0.001,100,,,
220,4,sag,2019-08-04,5,6,1.4,0,0.001,100,,,
221,4,ip,2019-08-11,5,6,1.4,0,0.001,100,,,
222,4,basisip,2019-08-11,5,6,1.4,0,0.001,100,,,
223,4,mag,2019-08-11,5,6,1.4,0,0.001,100,,,
224,4,sag,2019-08-11,5,6,1.4,0,0.001,100,,,
225,4,ip,2019-06-23,5,3,1.4,0,0.001,100,,,
226,4,basisip,2019-06-23,5,3,1.4,0,0.001,100,,,
227,4,mag,2019-06-23,5,3,1.4,0,0.001,100,,,
228,4,sag,2019-06-23,5,3,1.4,0,0.001,100,,,
229,4,ip,2019-06-30,5,3,1.4,0,0.001,100,,,
230,4,basisip,2019-06-30,5,3,1.4,0,0.001,100,,,
231,4,mag,2019-06-30,5,3,1.4,0,0.001,100,,,
232,4,sag,2019-06-30,5,3,1.4,0,0.001,100,,,
233,4,ip,2019-07-07,5,3,1.4,0,0.001,100,,,
234,4,basisip,2019-07-07,5,3,1.4,0,0.001,100,,,
235,4,mag,2019-07-07,5,3,1.4,0,0.001,100,,,
236,4,sag,2019-07-07,5,3,1.4,0,0.001,100,,,
237,4,ip,2019-07-14,5,3,1.4,0,0.001,100,,,
238,4,basisip,2019-07-14,5,3,1.4,0,0.001,100,,,
239,4,mag,2019-07-14,5,3,1.4,0,0.001,100,,,
240,4,sag,2019-07-14,5,3,1.4,0,0.001,100,,,
241,4,ip,2019-07-21,5,3,1.4,0,0.001,100,,,
242,4,basisip,2019-07-21,5,3,1.4,0,0.001,100,,,
243,4,mag,2019-07-21,5,3,1.4,0,0.001,100,,,
244,4,sag,2019-07-21,5,3,1.4,0,0.001,100,,,
245,4,ip,2019-07-28,5,3,1.4,0,0.001,100,,,
246,4,basisip,2019-07-28,5,3,1.4,0,0.001,100,,,
247,4,mag,2019-07-28,5,3,1.4,0,0.001,100,,,
248,4,sag,2019-07-28,5,3,1.4,0,0.001,100,,,
249,4,ip,2019-08-04,5,3,1.4,0,0.001,100,,,
250,4,basisip,2019-08-04,5,3,1.4,0,0.001,100,,,
251,4,mag,2019-08-04,5,3,1.4,0,0.001,100,,,
252,4,sag,2019-08-04,5,3,1.4,0,0.001,100,,,
253,4,ip,2019-08-11,5,3,1.4,0,0.001,100,,,
254,4,basisip,2019-08-11,5,3,1.4,0,0.001,100,,,
255,4,mag,2019-08-11,5,3,1.4,0,0.001,100,,,
256,4,sag,2019-08-11,5,3,1.4,0,0.001,100,,,
257,4,ip,2019-06-23,7,6,1.4,0,0.001,100,,,
258,4,basisip,2019-06-23,7,6,1.4,0,0.001,100,,,
259,4,mag,2019-06-23,7,6,1.4,0,0.001,100,,,
260,4,sag,2019-06-23,7,6,1.4,0,0.001,100,,,
261,4,ip,2019-06-30,7,6,1.4,0,0.001,100,,,
262,4,basisip,2019-06-30,7,6,1.4,0,0.001,100,,,
263,4,mag,2019-06-30,7,6,1.4,0,0.001,100,,,
264,4,sag,2019-06-30,7,6,1.4,0,0.001,100,,,
265,4,ip,2019-07-07,7,6,1.4,0,0.001,100,,,
266,4,basisip,2019-07-07,7,6,1.4,0,0.001,100,,,
267,4,mag,2019-07-07,7,6,1.4,0,0.001,100,,,
268,4,sag,2019-07-07,7,6,1.4,0,0.001,100,,,
269,4,ip,2019-07-14,7,6,1.4,0,0.001,100,,,
270,4,basisip,2019-07-14,7,6,1.4,0,0.001,100,,,
271,4,mag,2019-07-14,7,6,1.4,0,0.001,100,,,
272,4,sag,2019-07-14,7,6,1.4,0,0.001,100,,,
273,4,ip,2019-07-21,7,6,1.4,0,0.001,100,,,
274,4,basisip,2019-07-21,7,6,1.4,0,0.001,100,,,
275,4,mag,2019-07-21,7,6,1.4,0,0.001,100,,,
276,4,sag,2019-07-21,7,6,1.4,0,0.001,100,,,
277,4,ip,2019-07-28,7,6,1.4,0,0.001,100,,,
278,4,basisip,2019-07-28,7,6,1.4,0,0.001,100,,,
279,4,mag,2019-07-28,7,6,1.4,0,0.001,100,,,
280,4,sag,2019-07-28,7,6,1.4,0,0.001,100,,,
281,4,ip,2019-08-04,7,6,1.4,0,0.001,100,,,
282,4,basisip,2019-08-04,7,6,1.4,0,0.001,100,,,
283,4,mag,2019-08-04,7,6,1.4,0,0.001,100,,,
284,4,sag,2019-08-04,7,6,1.4,0,0.001,100,,,
285,4,ip,2019-08-11,7,6,1.4,0,0.001,100,,,
286,4,basisip,2019-08-11,7,6,1.4,0,0.001,100,,,
287,4,mag,2019-08-11,7,6,1.4,0,0.001,100,,,
288,4,sag,2019-08-11,7,6,1.4,0,0.001,100,,,
289,4,cg,2019-06-23,5,3,1.4,0,0.001,100,,,
290,4,cg,2019-06-23,5,3,1.4,0,0.001,500,,,
291,4,cg,2019-06-23,5,3,1.4,0,0.001,1000,,,
292,4,cg,2019-06-23,5,6,1.4,0,0.001,100,,,
293,4,cg,2019-06-23,5,6,1.4,0,0.001,500,,,
294,4,cg,2019-06-23,5,6,1.4,0,0.001,1000,,,
295,4,cg,2019-06-23,7,6,1.4,0,0.001,100,,,
296,4,cg,2019-06-23,7,6,1.4,0,0.001,500,,,
297,4,cg,2019-06-23,7,6,1.4,0,0.001,1000,,,
298,4,cg,2019-06-30,5,3,1.4,0,0.001,100,,,
299,4,cg,2019-06-30,5,3,1.4,0,0.001,500,,,
300,4,cg,2019-06-30,5,3,1.4,0,0.001,1000,,,
301,4,cg,2019-06-30,5,6,1.4,0,0.001,100,,,
302,4,cg,2019-06-30,5,6,1.4,0,0.001,500,,,
303,4,cg,2019-06-30,5,6,1.4,0,0.001,1000,,,
304,4,cg,2019-06-30,7,6,1.4,0,0.001,100,,,
305,4,cg,2019-06-30,7,6,1.4,0,0.001,500,,,
306,4,cg,2019-06-30,7,6,1.4,0,0.001,1000,,,
307,4,cg,2019-07-07,5,3,1.4,0,0.001,100,,,
308,4,cg,2019-07-07,5,3,1.4,0,0.001,500,,,
309,4,cg,2019-07-07,5,3,1.4,0,0.001,1000,,,
310,4,cg,2019-07-07,5,6,1.4,0,0.001,100,,,
311,4,cg,2019-07-07,5,6,1.4,0,0.001,500,,,
312,4,cg,2019-07-07,5,6,1.4,0,0.001,1000,,,
313,4,cg,2019-07-07,7,6,1.4,0,0.001,100,,,
314,4,cg,2019-07-07,7,6,1.4,0,0.001,500,,,
315,4,cg,2019-07-07,7,6,1.4,0,0.001,1000,,,
316,4,cg,2019-07-14,5,3,1.4,0,0.001,100,,,
317,4,cg,2019-07-14,5,3,1.4,0,0.001,500,,,
318,4,cg,2019-07-14,5,3,1.4,0,0.001,1000,,,
319,4,cg,2019-07-14,5,6,1.4,0,0.001,100,,,
320,4,cg,2019-07-14,5,6,1.4,0,0.001,500,,,
321,4,cg,2019-07-14,5,6,1.4,0,0.001,1000,,,
322,4,cg,2019-07-14,7,6,1.4,0,0.001,100,,,
323,4,cg,2019-07-14,7,6,1.4,0,0.001,500,,,
324,4,cg,2019-07-14,7,6,1.4,0,0.001,1000,,,
325,4,cg,2019-07-21,5,3,1.4,0,0.001,100,,,
326,4,cg,2019-07-21,5,3,1.4,0,0.001,500,,,
327,4,cg,2019-07-21,5,3,1.4,0,0.001,1000,,,
328,4,cg,2019-07-21,5,6,1.4,0,0.001,100,,,
329,4,cg,2019-07-21,5,6,1.4,0,0.001,500,,,
330,4,cg,2019-07-21,5,6,1.4,0,0.001,1000,,,
331,4,cg,2019-07-21,7,6,1.4,0,0.001,100,,,
332,4,cg,2019-07-21,7,6,1.4,0,0.001,500,,,
333,4,cg,2019-07-21,7,6,1.4,0,0.001,1000,,,
334,4,cg,2019-07-28,5,3,1.4,0,0.001,100,,,
335,4,cg,2019-07-28,5,3,1.4,0,0.001,500,,,
336,4,cg,2019-07-28,5,3,1.4,0,0.001,1000,,,
337,4,cg,2019-07-28,5,6,1.4,0,0.001,100,,,
338,4,cg,2019-07-28,5,6,1.4,0,0.001,500,,,
339,4,cg,2019-07-28,5,6,1.4,0,0.001,1000,,,
340,4,cg,2019-07-28,7,6,1.4,0,0.001,100,,,
341,4,cg,2019-07-28,7,6,1.4,0,0.001,500,,,
342,4,cg,2019-07-28,7,6,1.4,0,0.001,1000,,,
343,4,cg,2019-08-04,5,3,1.4,0,0.001,100,,,
344,4,cg,2019-08-04,5,3,1.4,0,0.001,500,,,
345,4,cg,2019-08-04,5,3,1.4,0,0.001,1000,,,
346,4,cg,2019-08-04,5,6,1.4,0,0.001,100,,,
347,4,cg,2019-08-04,5,6,1.4,0,0.001,500,,,
348,4,cg,2019-08-04,5,6,1.4,0,0.001,1000,,,
349,4,cg,2019-08-04,7,6,1.4,0,0.001,100,,,
350,4,cg,2019-08-04,7,6,1.4,0,0.001,500,,,
351,4,cg,2019-08-04,7,6,1.4,0,0.001,1000,,,
352,4,cg,2019-08-11,5,3,1.4,0,0.001,100,,,
353,4,cg,2019-08-11,5,3,1.4,0,0.001,500,,,
354,4,cg,2019-08-11,5,3,1.4,0,0.001,1000,,,
355,4,cg,2019-08-11,5,6,1.4,0,0.001,100,,,
356,4,cg,2019-08-11,5,6,1.4,0,0.001,500,,,
357,4,cg,2019-08-11,5,6,1.4,0,0.001,1000,,,
358,4,cg,2019-08-11,7,6,1.4,0,0.001,100,,,
359,4,cg,2019-08-11,7,6,1.4,0,0.001,500,,,
360,4,cg,2019-08-11,7,6,1.4,0,0.001,1000,,,
