experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold,cuttype,symmetrybreaking,mipfocus,additionaldrivers
49,4,mag,8/4/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-75
50,4,mag,8/4/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,0
51,4,mag,8/4/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,25
52,4,mag,8/4/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,50
53,4,mag,8/4/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,75
54,4,mag,8/4/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-25
55,4,mag,8/4/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-50
56,4,mag,8/4/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-75
57,4,mag,8/11/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-75
58,4,mag,8/11/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,0
59,4,mag,8/11/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,25
60,4,mag,8/11/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,50
61,4,mag,8/11/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,75
62,4,mag,8/11/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-25
63,4,mag,8/11/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-50
64,4,mag,8/11/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-75
