experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda
92,4,fragsvg,2019-08-11,7,3,1,,0.001,100
93,4,fragmvg,2019-08-11,5,2,1,,0.001,100
94,4,fragsvg,2019-08-11,5,2,1,,0.001,100
95,4,fragmvg,2019-08-11,7,2,1,,0.001,100
96,4,fragsvg,2019-08-11,7,2,1,,0.001,100
97,4,fragmvg,2019-06-23,5,6,1,,0.001,100
98,4,fragmvg,2019-06-23,5,6,1,,0.001,500
99,4,fragmvg,2019-06-23,5,6,1,,0.001,1000
100,4,fragmvg,2019-06-23,5,3,1,,0.001,100
101,4,fragmvg,2019-06-23,5,3,1,,0.001,500
102,4,fragmvg,2019-06-23,5,3,1,,0.001,1000
103,4,fragmvg,2019-06-23,7,6,1,,0.001,100
104,4,fragmvg,2019-06-23,7,6,1,,0.001,500
105,4,fragmvg,2019-06-23,7,6,1,,0.001,1000
106,4,fragsvg,2019-06-23,5,6,1,,0.001,100
107,4,fragsvg,2019-06-23,5,6,1,,0.001,500
108,4,fragsvg,2019-06-23,5,6,1,,0.001,1000
109,4,fragsvg,2019-06-23,5,3,1,,0.001,100
110,4,fragsvg,2019-06-23,5,3,1,,0.001,500
111,4,fragsvg,2019-06-23,5,3,1,,0.001,1000
112,4,fragsvg,2019-06-23,7,6,1,,0.001,100
113,4,fragsvg,2019-06-23,7,6,1,,0.001,500
114,4,fragsvg,2019-06-23,7,6,1,,0.001,1000
115,4,fragip,2019-06-23,5,6,1,,0.001,100
116,4,fragip,2019-06-23,5,6,1,,0.001,500
117,4,fragip,2019-06-23,5,6,1,,0.001,1000
118,4,fragip,2019-06-23,5,3,1,,0.001,100
119,4,fragip,2019-06-23,5,3,1,,0.001,500
120,4,fragip,2019-06-23,5,3,1,,0.001,1000
121,4,fragip,2019-06-23,7,6,1,,0.001,100
122,4,fragip,2019-06-23,7,6,1,,0.001,500
123,4,fragip,2019-06-23,7,6,1,,0.001,1000
124,4,fragmvg,2019-06-30,5,6,1,,0.001,100
125,4,fragmvg,2019-06-30,5,6,1,,0.001,500
126,4,fragmvg,2019-06-30,5,6,1,,0.001,1000
127,4,fragmvg,2019-06-30,5,3,1,,0.001,100
128,4,fragmvg,2019-06-30,5,3,1,,0.001,500
129,4,fragmvg,2019-06-30,5,3,1,,0.001,1000
130,4,fragmvg,2019-06-30,7,6,1,,0.001,100
131,4,fragmvg,2019-06-30,7,6,1,,0.001,500
132,4,fragmvg,2019-06-30,7,6,1,,0.001,1000
133,4,fragsvg,2019-06-30,5,6,1,,0.001,100
134,4,fragsvg,2019-06-30,5,6,1,,0.001,500
135,4,fragsvg,2019-06-30,5,6,1,,0.001,1000
136,4,fragsvg,2019-06-30,5,3,1,,0.001,100
137,4,fragsvg,2019-06-30,5,3,1,,0.001,500
138,4,fragsvg,2019-06-30,5,3,1,,0.001,1000
139,4,fragsvg,2019-06-30,7,6,1,,0.001,100
140,4,fragsvg,2019-06-30,7,6,1,,0.001,500
141,4,fragsvg,2019-06-30,7,6,1,,0.001,1000
142,4,fragip,2019-06-30,5,6,1,,0.001,100
143,4,fragip,2019-06-30,5,6,1,,0.001,500
144,4,fragip,2019-06-30,5,6,1,,0.001,1000
145,4,fragip,2019-06-30,5,3,1,,0.001,100
146,4,fragip,2019-06-30,5,3,1,,0.001,500
147,4,fragip,2019-06-30,5,3,1,,0.001,1000
148,4,fragip,2019-06-30,7,6,1,,0.001,100
149,4,fragip,2019-06-30,7,6,1,,0.001,500
150,4,fragip,2019-06-30,7,6,1,,0.001,1000
151,4,fragmvg,2019-07-07,5,6,1,,0.001,100
152,4,fragmvg,2019-07-07,5,6,1,,0.001,500
153,4,fragmvg,2019-07-07,5,6,1,,0.001,1000
154,4,fragmvg,2019-07-07,5,3,1,,0.001,100
155,4,fragmvg,2019-07-07,5,3,1,,0.001,500
156,4,fragmvg,2019-07-07,5,3,1,,0.001,1000
157,4,fragmvg,2019-07-07,7,6,1,,0.001,100
158,4,fragmvg,2019-07-07,7,6,1,,0.001,500
159,4,fragmvg,2019-07-07,7,6,1,,0.001,1000
160,4,fragsvg,2019-07-07,5,6,1,,0.001,100
161,4,fragsvg,2019-07-07,5,6,1,,0.001,500
162,4,fragsvg,2019-07-07,5,6,1,,0.001,1000
163,4,fragsvg,2019-07-07,5,3,1,,0.001,100
164,4,fragsvg,2019-07-07,5,3,1,,0.001,500
165,4,fragsvg,2019-07-07,5,3,1,,0.001,1000
166,4,fragsvg,2019-07-07,7,6,1,,0.001,100
167,4,fragsvg,2019-07-07,7,6,1,,0.001,500
168,4,fragsvg,2019-07-07,7,6,1,,0.001,1000
169,4,fragip,2019-07-07,5,6,1,,0.001,100
170,4,fragip,2019-07-07,5,6,1,,0.001,500
171,4,fragip,2019-07-07,5,6,1,,0.001,1000
172,4,fragip,2019-07-07,5,3,1,,0.001,100
173,4,fragip,2019-07-07,5,3,1,,0.001,500
174,4,fragip,2019-07-07,5,3,1,,0.001,1000
175,4,fragip,2019-07-07,7,6,1,,0.001,100
176,4,fragip,2019-07-07,7,6,1,,0.001,500
177,4,fragip,2019-07-07,7,6,1,,0.001,1000
178,4,fragmvg,2019-07-14,5,6,1,,0.001,100
179,4,fragmvg,2019-07-14,5,6,1,,0.001,500
180,4,fragmvg,2019-07-14,5,6,1,,0.001,1000
181,4,fragmvg,2019-07-14,5,3,1,,0.001,100
182,4,fragmvg,2019-07-14,5,3,1,,0.001,500
183,4,fragmvg,2019-07-14,5,3,1,,0.001,1000
184,4,fragmvg,2019-07-14,7,6,1,,0.001,100
185,4,fragmvg,2019-07-14,7,6,1,,0.001,500
186,4,fragmvg,2019-07-14,7,6,1,,0.001,1000
187,4,fragsvg,2019-07-14,5,6,1,,0.001,100
188,4,fragsvg,2019-07-14,5,6,1,,0.001,500
189,4,fragsvg,2019-07-14,5,6,1,,0.001,1000
190,4,fragsvg,2019-07-14,5,3,1,,0.001,100
191,4,fragsvg,2019-07-14,5,3,1,,0.001,500
192,4,fragsvg,2019-07-14,5,3,1,,0.001,1000
193,4,fragsvg,2019-07-14,7,6,1,,0.001,100
194,4,fragsvg,2019-07-14,7,6,1,,0.001,500
195,4,fragsvg,2019-07-14,7,6,1,,0.001,1000
196,4,fragip,2019-07-14,5,6,1,,0.001,100
197,4,fragip,2019-07-14,5,6,1,,0.001,500
198,4,fragip,2019-07-14,5,6,1,,0.001,1000
199,4,fragip,2019-07-14,5,3,1,,0.001,100
200,4,fragip,2019-07-14,5,3,1,,0.001,500
201,4,fragip,2019-07-14,5,3,1,,0.001,1000
202,4,fragip,2019-07-14,7,6,1,,0.001,100
203,4,fragip,2019-07-14,7,6,1,,0.001,500
204,4,fragip,2019-07-14,7,6,1,,0.001,1000
205,4,fragmvg,2019-07-21,5,6,1,,0.001,100
206,4,fragmvg,2019-07-21,5,6,1,,0.001,500
207,4,fragmvg,2019-07-21,5,6,1,,0.001,1000
208,4,fragmvg,2019-07-21,5,3,1,,0.001,100
209,4,fragmvg,2019-07-21,5,3,1,,0.001,500
210,4,fragmvg,2019-07-21,5,3,1,,0.001,1000
211,4,fragmvg,2019-07-21,7,6,1,,0.001,100
212,4,fragmvg,2019-07-21,7,6,1,,0.001,500
213,4,fragmvg,2019-07-21,7,6,1,,0.001,1000
214,4,fragsvg,2019-07-21,5,6,1,,0.001,100
215,4,fragsvg,2019-07-21,5,6,1,,0.001,500
216,4,fragsvg,2019-07-21,5,6,1,,0.001,1000
217,4,fragsvg,2019-07-21,5,3,1,,0.001,100
218,4,fragsvg,2019-07-21,5,3,1,,0.001,500
219,4,fragsvg,2019-07-21,5,3,1,,0.001,1000
220,4,fragsvg,2019-07-21,7,6,1,,0.001,100
221,4,fragsvg,2019-07-21,7,6,1,,0.001,500
222,4,fragsvg,2019-07-21,7,6,1,,0.001,1000
223,4,fragip,2019-07-21,5,6,1,,0.001,100
224,4,fragip,2019-07-21,5,6,1,,0.001,500
225,4,fragip,2019-07-21,5,6,1,,0.001,1000
226,4,fragip,2019-07-21,5,3,1,,0.001,100
227,4,fragip,2019-07-21,5,3,1,,0.001,500
228,4,fragip,2019-07-21,5,3,1,,0.001,1000
229,4,fragip,2019-07-21,7,6,1,,0.001,100
