ID,example,week,method,timehorizon,iteration,lowerbound,upperbound,path_count,arc_count
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,41,-912311.6961452665,433417.845199911,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,42,-860285.3388872704,432066.9142984407,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,43,-898932.4074658245,431567.9215347221,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,44,-949153.7600428686,431423.4367469494,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,45,-823440.2672927208,431276.57089264493,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,46,-973174.0159105964,430590.9471488707,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,47,-904320.5877099545,430106.27371722896,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,48,-799317.0874343845,429527.9835778771,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,49,-880411.2489913483,428936.5278384664,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,50,-775490.5097797501,428803.9669786861,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,51,-874155.4243629958,428551.62725689413,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,52,-787558.7736049143,428161.1556872001,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,53,-799198.5585538154,427405.91552430176,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,54,-743822.4792662712,426922.0794692189,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,55,-718965.8130884477,425592.01978241594,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,56,-772375.5073232172,425240.2754982932,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,57,-800531.7978915907,425161.45217659936,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,58,-691257.108855944,425032.0451080039,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,59,-726526.6779590719,424210.27082753694,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,60,-712881.7681921734,424112.50705570605,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,61,-743855.895338853,423900.69557419384,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,62,-885796.6332402274,423168.3076939168,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,63,-860655.6157372458,422844.4435887084,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,64,-705088.6867611085,422782.0573259347,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,65,-690351.3726391713,422659.2648185627,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,66,-859854.6070456489,421683.5939019017,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,67,-957522.6350691962,421232.49026973185,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,68,-891594.0621280855,421041.40900664974,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,69,-829324.5796573025,420963.1744994701,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,70,-825012.8690168497,420830.3388816586,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,71,-755618.8472641669,420325.57684897206,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,72,-860160.5917921157,420170.47526600835,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,73,-837967.625810635,420150.580999886,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,74,-625127.5207779479,420003.1715508313,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,75,-566672.8311338855,419521.3820491561,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,76,-605691.64966105,419356.4354916001,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,77,-568085.252995329,418973.7516205939,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,78,-507487.6704300416,418828.2100493446,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,79,-657687.0662774758,418449.12498692475,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,80,-582097.3197983961,418085.3095548949,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,81,-657169.7439342393,417062.0798117598,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,82,-641969.0389958203,416447.90791928215,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,83,-572353.2505253504,416319.76939895307,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,84,-554296.447791541,415840.68706930766,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,85,-559488.8425956699,415076.75001502497,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,86,-437287.4556927439,414368.1300836939,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,87,-551620.3797062847,413694.88824727555,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,88,-557438.5022206244,413277.8930725116,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,89,-533898.9047430832,413052.2316880189,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,90,-489778.3091233712,412743.2252434701,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,91,-522755.0526140253,412499.6038299373,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,92,-516754.9814852829,412226.65637786395,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,93,-411840.64798308857,411833.9995140653,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,94,-456006.420552402,411684.6720507112,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,95,-362735.94423560874,411437.33512051305,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,96,-318538.06705307774,411223.7903630162,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,97,-364181.4415709573,411095.2886125173,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,98,-210210.26437206048,410726.2096133242,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,99,-234818.8091204068,410453.52191541,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,100,-197868.75943431904,409996.9004796163,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,101,-270486.449834208,409936.5212234858,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,102,-202367.09009611193,409669.96390780766,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,103,-300933.1122908293,409435.281075128,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,104,-242963.21889310086,409109.12025126047,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,105,-139666.75015545485,409066.61512108706,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,106,-234954.6855012722,408996.3310582355,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,107,-150183.5115602287,408876.0687970331,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,108,-188546.63436165894,408636.25366748334,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,109,-252736.4629960251,408573.6142602288,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,110,-106477.59780121781,408357.31141032366,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,111,-40675.8210367001,408125.62326240935,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,112,-123864.33483150788,407950.63908768154,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,113,-43530.34831034095,407693.6798039732,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,114,-103079.61348844972,407575.5675133612,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,115,-55262.402055431216,407434.2323186551,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,116,-75878.69319002732,407356.8652933928,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,117,-65426.067795694515,406987.80752379267,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,118,-26778.37622307532,406255.66293204296,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,119,-29064.177981580026,405855.198809089,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,120,-105518.96614386566,405374.8902394176,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,121,-156281.13865596632,405176.07787736336,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,122,-96409.12842273549,405028.7627227091,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,123,-32037.558107269986,404404.3657138516,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,124,-100915.38469457842,404344.1967964625,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,125,-76463.09440464282,404291.0638643838,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,126,-55592.486612027744,404272.06659544946,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,127,-55174.418964060955,404094.76368816383,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,128,-55189.92530457396,404073.82398806163,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,129,3300.4615458044573,403888.40303988167,0,0
ex4_exp58_cg_rundate2026-03-29,4,2019-06-30T08:00:00.0,cg,96,130,90694.29973606893,403635.6137596807,0,0
