ID,example,method,originloc,destloc,arctime_rdd,arctime_raw,arcdist,totaltrips,ordertrips,emptytrips,taxitrips
ex4_bns_rundate2022-03-24,4,bns,10,16,12,9.13462963,249.8648853,5,0,5,0
ex4_bns_rundate2022-03-24,4,bns,2,9,12,8.148125074,276.3123927,5,0,5,0
ex4_bns_rundate2022-03-24,4,bns,12,22,12,9.050518333,291.6610287,5,0,5,0
ex4_bns_rundate2022-03-24,4,bns,31,36,12,8.89976935,230.5080549,14,10,4,0
ex4_bns_rundate2022-03-24,4,bns,36,31,12,9.20443652,230.5080549,14,10,4,0
ex4_bns_rundate2022-03-24,4,bns,47,36,12,9.443832778,327.1519281,10,6,4,0
ex4_bns_rundate2022-03-24,4,bns,49,48,6,4.890789337,135.3026374,10,6,4,0
ex4_bns_rundate2022-03-24,4,bns,11,16,6,4.144170722,144.6352909,8,4,4,0
ex4_bns_rundate2022-03-24,4,bns,2,7,6,5.966326667,217.9513702,8,4,4,0
ex4_bns_rundate2022-03-24,4,bns,19,16,6,5.741017056,75.71757678,5,1,4,0
ex4_bns_rundate2022-03-24,4,bns,58,52,12,8.277081228,156.613644,4,0,4,0
ex4_bns_rundate2022-03-24,4,bns,47,54,6,5.722140251,203.4191496,36,33,3,0
ex4_bns_rundate2022-03-24,4,bns,24,33,12,9.297454803,265.9841254,35,32,3,0
ex4_bns_rundate2022-03-24,4,bns,12,18,6,3.979855625,158.6159559,34,31,3,0
ex4_bns_rundate2022-03-24,4,bns,26,12,12,10.5225,399.0838905,26,23,3,0
ex4_bns_rundate2022-03-24,4,bns,26,29,6,4.686465224,94.13981621,15,12,3,0
ex4_bns_rundate2022-03-24,4,bns,20,24,12,8.904265068,224.7676611,10,7,3,0
ex4_bns_rundate2022-03-24,4,bns,34,30,12,8.584165971,269.5339049,8,5,3,0
ex4_bns_rundate2022-03-24,4,bns,38,34,12,7.146470262,246.8461583,8,5,3,0
ex4_bns_rundate2022-03-24,4,bns,30,34,12,8.620092145,269.5339049,7,4,3,0
ex4_bns_rundate2022-03-24,4,bns,35,29,12,8.501904191,215.4509026,4,1,3,0
ex4_bns_rundate2022-03-24,4,bns,53,64,12,10.48611722,377.5930805,4,1,3,0
ex4_bns_rundate2022-03-24,4,bns,43,39,12,6.363327955,195.0410947,4,1,3,0
ex4_bns_rundate2022-03-24,4,bns,61,64,6,4.342777778,164.167703,3,0,3,0
ex4_bns_rundate2022-03-24,4,bns,55,64,12,10.00760111,361.2456904,3,0,3,0
ex4_bns_rundate2022-03-24,4,bns,16,17,6,1.2,40.23578695,3,0,3,0
ex4_bns_rundate2022-03-24,4,bns,55,60,12,7.719619166,175.0834198,3,0,3,0
ex4_bns_rundate2022-03-24,4,bns,6,1,12,8.823131241,231.7069717,3,0,3,0
ex4_bns_rundate2022-03-24,4,bns,9,7,12,10.71324944,429.6105389,3,0,3,0
ex4_bns_rundate2022-03-24,4,bns,60,64,12,6.706585751,220.1473055,3,0,3,0
ex4_bns_rundate2022-03-24,4,bns,19,25,6,5.546718436,190.8505761,55,53,2,0
ex4_bns_rundate2022-03-24,4,bns,12,9,6,5.073730041,180.5588058,35,33,2,0
ex4_bns_rundate2022-03-24,4,bns,26,32,12,11.29123927,205.5164501,22,20,2,0
ex4_bns_rundate2022-03-24,4,bns,60,54,6,5.466158129,195.4859589,21,19,2,0
ex4_bns_rundate2022-03-24,4,bns,56,60,6,4.781224966,143.6943556,15,13,2,0
ex4_bns_rundate2022-03-24,4,bns,4,8,12,6.570260496,179.6379295,13,11,2,0
ex4_bns_rundate2022-03-24,4,bns,24,20,12,9.548849963,224.7676611,11,9,2,0
ex4_bns_rundate2022-03-24,4,bns,36,47,12,9.443832778,327.1519281,10,8,2,0
ex4_bns_rundate2022-03-24,4,bns,60,55,6,5.357021349,175.0834198,8,6,2,0
ex4_bns_rundate2022-03-24,4,bns,1,3,6,4.450994546,125.6224314,7,5,2,0
ex4_bns_rundate2022-03-24,4,bns,3,1,6,4.553562676,125.6224314,7,5,2,0
ex4_bns_rundate2022-03-24,4,bns,2,1,6,2.187683389,94.05205987,7,5,2,0
ex4_bns_rundate2022-03-24,4,bns,17,20,12,10.97056935,287.4704835,6,4,2,0
ex4_bns_rundate2022-03-24,4,bns,20,17,12,10.4729137,287.4704835,6,4,2,0
ex4_bns_rundate2022-03-24,4,bns,36,44,12,9.824423945,276.9334667,3,1,2,0
ex4_bns_rundate2022-03-24,4,bns,28,30,12,7.032079588,223.8970149,3,1,2,0
ex4_bns_rundate2022-03-24,4,bns,17,14,12,9.399953504,284.8849334,2,0,2,0
ex4_bns_rundate2022-03-24,4,bns,6,5,6,4.026543651,86.19568473,2,0,2,0
ex4_bns_rundate2022-03-24,4,bns,22,29,12,7.927844099,195.1563521,2,0,2,0
