ID,example,timehorizon,timestep,numlocs,numdrivers,numtrucks,lambdaobj,timedelta,totalcompletedorders,neworders,numorders,iteration,totalpastcost,ordertrips,emptytrips,taxitrips,ordermiles,emptymiles,taximiles,delay_per_order,max_order_delay
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,0,0,115,115,heur,4434.594573812041,20,0,0,4434.594573812041,0,0,NaN,0
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,6,1,38,152,heur,6849.464583658756,37,1,0,6755.412523786279,94.0520598724769,0,0.0,0.0
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,12,4,26,175,heur,20088.98012822171,95,1,0,19994.928068349232,94.0520598724769,0,-7.80047085941794e-17,0.0
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,18,11,16,184,heur,23136.96143014734,114,7,0,21393.302040470535,914.6614085126533,0,0.15072690566621041,0.7276957671648883
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,24,13,24,206,heur,51591.90045596655,230,23,0,45223.677335858076,5281.263183863698,0,0.1672246055761208,0.7276957671648883
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,30,34,37,222,heur,59632.71991212153,277,37,0,49967.89068090044,7083.70271517024,0,0.15183097153240396,0.8745620020403386
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,36,42,17,231,heur,92821.61530084407,400,74,0,73985.05076039232,15760.647987133892,0,0.14647221682466052,0.8745620020403386
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,42,64,28,237,heur,99364.39050041861,452,87,0,77566.25117489869,16990.760784049187,0,0.15023057942095958,0.8745620020403391
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,48,72,33,262,heur,141987.00940952176,600,139,0,106112.67722536383,30583.030561775933,0,0.14698060062172205,0.8745620020403391
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,54,93,32,273,heur,150487.7589728259,662,159,0,110658.06402889657,33203.4514414928,0,0.14249986026744807,0.8745620020403391
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,60,99,16,283,heur,189513.0233885214,823,204,0,138511.18043673152,44151.44812422714,0,0.13839181469822284,0.8745620020403391
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,66,130,18,270,heur,198943.84601412437,902,222,0,144133.45125635192,46806.6935928084,0,0.12313386407635886,0.8745620020403391
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,72,139,22,283,heur,241544.14170893852,1082,267,0,174947.2558032246,58177.3071861245,0,0.12114501754803736,0.8745620020403391
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,78,177,54,299,heur,253762.15299447952,1167,284,0,180003.88973635202,60467.81508211683,0,0.1501745556611287,4.365096692789303
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,84,181,28,323,heur,291305.28377455904,1337,325,0,207195.20221085913,70387.40062649024,0,0.15163183356032095,4.365096692789303
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,90,211,15,308,heur,300784.4439348574,1428,338,0,212064.9913999022,72139.11642925478,0,0.15715958394028962,4.365096692789303
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,96,220,31,330,heur,344175.06407099747,1629,384,0,243376.07750959252,83784.03968976907,0,0.15468133519669477,4.365096692789303
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,102,261,39,328,heur,356363.3161024842,1732,402,0,249293.49590388557,86174.62885651222,0,0.16011640875162805,4.365096692789303
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,108,271,36,354,heur,395168.1971733862,1921,442,0,277181.0636293936,96549.81889698368,0,0.15820896418457756,4.365096692789303
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,114,294,10,341,heur,403972.5938275223,2027,458,0,281931.4674396952,98844.34259208184,0,0.1578012503112016,4.365096692789303
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,120,302,42,375,heur,454049.7544360115,2247,514,0,317777.0214932356,112518.67845757677,0,0.15731161910728877,4.365096692789303
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,126,333,40,384,heur,465874.35129076865,2366,527,0,323822.93180752255,114481.96440266777,0,0.16558231279627503,4.365096692789303
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,132,341,31,407,heur,507669.80428398773,2587,563,0,355867.81487139943,123564.38897944322,0,0.16561642482783817,4.365096692789303
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,138,367,10,391,heur,525075.0222849024,2717,576,0,362898.07779581763,125225.54099289392,0,0.20137004630077304,5.896721479515054
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,144,374,18,402,heur,574274.287675862,2983,620,0,399515.46912893135,137440.59862323498,0,0.1995626733887445,5.896721479515054
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,150,418,14,372,heur,587279.0618329798,3131,637,0,406307.26925669797,139607.08253879473,0,0.19791727290662708,5.896721479515054
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,156,431,25,384,heur,631321.287734969,3372,685,0,437036.21642785455,152012.85434341925,0,0.19615877941387863,5.896721479515054
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,162,467,16,364,heur,641571.0473922625,3511,708,0,441082.3268524123,155392.25546376227,0,0.19313261274553364,5.896721479515054
ex4_bns_rundate2022-03-24,4,3.0,6,66,3316,2495,500,162,467,0,364,final,1.2771283283033345e6,3511,708,0,845117.5243945937,155392.25546376227,0,1.184661877708664,12.56190182483326
