varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,0,4925,55,53,66.0,72.0,0.0
y,0,4936,21,19,0.0,12.0,0.0
y,0,4938,21,19,12.0,24.0,0.0
y,0,4940,21,19,24.0,36.0,0.0
y,0,4942,21,19,36.0,48.0,0.0
y,0,4944,21,19,48.0,60.0,0.0
y,0,4946,21,19,60.0,72.0,0.0
y,0,4966,51,48,0.0,12.0,0.0
y,0,4968,51,48,12.0,24.0,0.0
y,0,4970,51,48,24.0,36.0,0.0
y,0,4972,51,48,36.0,48.0,0.0
y,0,4974,51,48,48.0,60.0,0.0
y,0,4976,51,48,60.0,72.0,0.0
y,0,4986,1,1,0.0,6.0,37.0
y,0,4987,1,1,6.0,12.0,38.000000000000064
y,0,4988,1,1,12.0,18.0,38.00000000000012
y,0,4989,1,1,18.0,24.0,38.00000000000012
y,0,4990,1,1,24.0,30.0,37.000000000000185
y,0,4991,1,1,30.0,36.0,37.000000000000185
y,0,4992,1,1,36.0,42.0,37.000000000000185
y,0,4993,1,1,42.0,48.0,37.000000000000185
y,0,4994,1,1,48.0,54.0,37.000000000000185
y,0,4995,1,1,54.0,60.0,37.000000000000185
y,0,4996,1,1,60.0,66.0,38.000000000000185
y,0,4997,1,1,66.0,72.0,38.000000000000185
y,0,4998,2,2,0.0,6.0,35.999999999999815
y,0,4999,2,2,6.0,12.0,35.999999999999815
y,0,5000,2,2,12.0,18.0,33.999999999999815
y,0,5001,2,2,18.0,24.0,33.99999993258408
y,0,5002,2,2,24.0,30.0,33.99999993258408
y,0,5003,2,2,30.0,36.0,33.99999993258408
y,0,5004,2,2,36.0,42.0,35.99999993258408
y,0,5005,2,2,42.0,48.0,35.99999993258408
y,0,5006,2,2,48.0,54.0,37.999999999999815
y,0,5007,2,2,54.0,60.0,38.99999993258408
y,0,5008,2,2,60.0,66.0,39.99999993258408
y,0,5009,2,2,66.0,72.0,39.99999993258408
y,0,5010,3,3,0.0,6.0,38.0
y,0,5011,3,3,6.0,12.0,38.0
y,0,5012,3,3,12.0,18.0,37.00000006741573
y,0,5013,3,3,18.0,24.0,36.00000006741573
y,0,5014,3,3,24.0,30.0,36.00000006741573
y,0,5015,3,3,30.0,36.0,37.00000006741573
y,0,5016,3,3,36.0,42.0,36.00000006741573
y,0,5017,3,3,42.0,48.0,37.0
y,0,5018,3,3,48.0,54.0,37.00000006741573
y,0,5019,3,3,54.0,60.0,37.00000006741573
y,0,5020,3,3,60.0,66.0,37.00000006741573
y,0,5021,3,3,66.0,72.0,37.00000006741573
y,0,5022,4,4,0.0,6.0,38.0
y,0,5023,4,4,6.0,12.0,38.0
y,0,5024,4,4,12.0,18.0,39.0
y,0,5025,4,4,18.0,24.0,39.0
y,0,5026,4,4,24.0,30.0,40.0
y,0,5027,4,4,30.0,36.0,40.0
y,0,5028,4,4,36.0,42.0,38.0
y,0,5029,4,4,42.0,48.0,38.0
y,0,5030,4,4,48.0,54.0,38.0
